,Test,T-Test,Ranksum,WT-Test,F-Test,KS-Test
attr_77,84,93,84,84,85
attr_82,65,54,65,65,19
attr_46,3,3,3,3,1
attr_20,58,64,58,58,20
attr_39,29,38,29,29,56
attr_61,35,50,35,35,57
attr_91,21,5,21,21,2
attr_69,37,18,37,37,21
attr_75,92,89,92,92,86
attr_57,14,6,14,14,3
attr_98,0,7,0,0,4
attr_55,74,75,72,74,87
attr_71,51,46,51,51,22
attr_40,19,8,19,19,23
attr_67,47,31,47,47,24
attr_85,63,65,63,63,58
attr_31,38,32,39,38,59
attr_50,97,95,97,97,88
attr_80,72,66,73,72,60
attr_23,90,62,90,90,61
attr_96,94,94,94,94,96
attr_99,78,72,78,78,62
attr_74,98,98,98,98,89
attr_45,75,78,75,75,63
attr_13,18,24,18,18,25
attr_25,5,29,5,5,5
attr_34,22,14,22,22,6
attr_51,61,57,61,61,26
attr_43,20,30,20,20,27
attr_73,32,28,32,32,7
attr_18,68,67,68,68,64
attr_84,30,33,30,30,65
attr_58,60,73,60,60,66
attr_60,50,51,50,50,67
attr_0,85,84,86,85,68
attr_83,62,58,62,62,28
attr_15,25,34,25,25,8
attr_11,83,85,83,83,69
attr_30,17,0,17,17,29
attr_6,13,2,13,13,9
attr_88,42,53,42,42,30
attr_12,41,39,41,41,10
attr_56,39,40,38,39,31
attr_3,16,19,16,16,32
attr_5,99,99,99,99,97
attr_97,82,81,82,82,70
attr_81,24,47,24,24,71
attr_89,66,68,66,66,33
attr_48,73,69,74,73,72
attr_32,80,74,80,80,73
attr_52,93,90,93,93,74
attr_53,2,15,2,2,34
attr_63,67,71,67,67,75
attr_90,23,45,23,23,35
attr_95,91,86,91,91,90
attr_59,33,35,33,33,36
attr_72,1,4,1,1,76
attr_2,77,76,76,77,91
attr_19,87,77,87,87,77
attr_70,96,96,96,96,92
attr_8,55,20,55,55,11
attr_92,89,91,89,89,78
attr_65,69,70,69,69,37
attr_68,31,16,31,31,12
attr_9,4,9,4,4,38
attr_62,11,10,11,11,13
attr_94,44,41,44,44,39
attr_36,81,80,81,81,79
attr_21,88,88,88,88,80
attr_16,59,59,59,59,40
attr_76,95,97,95,95,98
attr_24,45,36,45,45,41
attr_7,43,21,43,43,14
attr_28,15,11,15,15,0
attr_29,52,48,52,52,42
attr_22,48,49,48,48,43
attr_42,28,22,28,28,15
attr_38,7,12,7,7,44
attr_35,86,92,85,86,93
attr_86,8,1,8,8,45
attr_49,56,42,56,56,46
attr_41,71,55,70,71,94
attr_14,70,79,71,70,95
attr_93,6,17,6,6,47
attr_47,12,25,12,12,48
attr_27,10,26,10,10,16
attr_87,46,52,46,46,49
attr_37,27,37,27,27,50
attr_66,40,27,40,40,17
attr_1,34,23,34,34,18
attr_79,26,60,26,26,81
attr_17,49,43,49,49,51
attr_4,36,56,36,36,52
attr_33,76,82,77,76,82
attr_54,54,44,54,54,53
attr_64,9,13,9,9,54
attr_26,64,87,64,64,99
attr_44,53,61,53,53,83
attr_10,57,63,57,57,55
attr_78,79,83,79,79,84
